importing_country,exporting_country,year,product,trade_value
Australia,World,2025,Cars,41207502001.263
Australia,World,2025,Electronics,79779999127.337
Australia,World,2025,Food,293202171.31
Australia,World,2025,Lumber,1940228965.988
Australia,World,2025,Steel,2132322206.972
Bhutan,World,2025,Cars,105538965.098
Bhutan,World,2025,Electronics,907451429.638
Bhutan,World,2025,Food,43544019.492
Bhutan,World,2025,Lumber,44575475.769
Bhutan,World,2025,Steel,82523549.426
Brazil,World,2025,Cars,24069291520.0
Brazil,World,2025,Electronics,80155059339.0
Brazil,World,2025,Food,2823827089.0
Brazil,World,2025,Lumber,180128972.0
Brazil,World,2025,Steel,5276827484.0
Guyana,World,2025,Cars,684628197.852
Guyana,World,2025,Electronics,2265374283.42
Guyana,World,2025,Food,39148646.6
Guyana,World,2025,Lumber,20531837.948
Guyana,World,2025,Steel,195215031.715
Hungary,World,2025,Cars,16976609380.817
Hungary,World,2025,Electronics,56136084994.824005
Hungary,World,2025,Food,381393885.546
Hungary,World,2025,Lumber,834084540.938
Hungary,World,2025,Steel,2681816107.118
Iceland,World,2025,Cars,1136022209.058
Iceland,World,2025,Electronics,3312088307.358
Iceland,World,2025,Food,24888349.307
Iceland,World,2025,Lumber,168594661.982
Iceland,World,2025,Steel,68661728.723
Indonesia,World,2025,Cars,10999068168.867
Indonesia,World,2025,Electronics,68519824164.321
Indonesia,World,2025,Food,3748025174.485
Indonesia,World,2025,Lumber,682722783.661
Indonesia,World,2025,Steel,9527770544.764
Japan,World,2025,Cars,23749055640.532
Japan,World,2025,Electronics,189265753082.021
Japan,World,2025,Food,6415101138.096
Japan,World,2025,Lumber,9537634801.251
Japan,World,2025,Steel,6866594850.776
Latvia,World,2025,Cars,2553400115.188
Latvia,World,2025,Electronics,5535128211.996
Latvia,World,2025,Food,191335070.877
Latvia,World,2025,Lumber,696707403.053
Latvia,World,2025,Steel,579250411.04
Lithuania,World,2025,Cars,5415019669.0
Lithuania,World,2025,Electronics,9104532586.0
Lithuania,World,2025,Food,93250885.0
Lithuania,World,2025,Lumber,1011431990.0
Lithuania,World,2025,Steel,1095317546.0
Mexico,World,2025,Cars,62732602616.0
Mexico,World,2025,Electronics,284221850799.0
Mexico,World,2025,Food,8179909620.0
Mexico,World,2025,Lumber,2101971662.0
Mexico,World,2025,Steel,16362694975.0
Norway,World,2025,Cars,12548567124.367
Norway,World,2025,Electronics,27501604510.04
Norway,World,2025,Food,225759295.371
Norway,World,2025,Lumber,1471117910.722
Norway,World,2025,Steel,901292675.422
Paraguay,World,2025,Cars,1741767745.096
Paraguay,World,2025,Electronics,6024465125.905
Paraguay,World,2025,Food,92942893.772
Paraguay,World,2025,Lumber,38183252.505
Paraguay,World,2025,Steel,423254238.87
South Africa,World,2025,Cars,9282393750.536
South Africa,World,2025,Electronics,25888322651.038002
South Africa,World,2025,Food,1416262442.363
South Africa,World,2025,Lumber,422823093.271
South Africa,World,2025,Steel,1623735818.993
